Text,Benigne,Cyber Terrorism,Cyber Bullying,Extremism
احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.,0,0.2,0,0.8
احيانا الوحده تزيل بعضا من الهموم,1,0,0,0
احيانا يكون الفشل دافع للنجاح,1,0,0,0
اخ يا بطني عورني من الضحكك,0,0,0,0
اخبار مسخره,0,0,1,0
اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا,0,0,0.7,0.3
اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين,0,0,1,0
اخر واحد مهستر,0,0,1,0
ادعي من الله ان يقوني علي طاعته,1,0,0,0
اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي ,1,0,0,0
اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى,1,0,0,0
اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل,0,0.5,0,0.5
اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي,1,0,0,0
اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث,1,0,0,0
"اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن",1,0,0,0
اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه,1,0,0,0
اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله,0,0,1,0
"اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!",1,0,0,0
اذا لم تقل لا للظلم فسيستمر الى الابد,1,0,0,0
اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك,0,0,0.5,0.5
ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك,1,0,0,0
ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم,0,0,0,1
ارحمونا من الجوكر,0,0.5,0.5,0
اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا,1,0,0,0
اسال الله ان يرزقني من يدعو لي في ظهر الغيب,1,0,0,0
اسال الله عزوجل له الثبات,1,0,0,0
اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون,1,0,0,0
اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير,1,0,0,0
اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,1,0,0,0
استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,1,0,0,0
استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,0,0,0.6,0.4
استخفف من لجنه التحكيم,0,0,0,0
استعينوا بالله يا مسلمين,1,0,0,0
استغفر الله مجانين يروحون سوبر ستار,0,0,0,0
استهبال باستهبال,0,0,1,0
استودعكم الله الذي لا تضيع ودائعه,1,0,0,0
اسخف لجنه تحكيم شفتها بحياتي,0,0,0.5,0.5
اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,0,0,0,0
اسعد الله صباحكم علامتنا بالخيرات,1,0,0,0
اسفل من بعضهم,0,0,1,0
اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.,0,0,0,0
اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,1,0,0,0
اسوا شعب الله في الكوميديا,0,0,0.5,0.5
اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,1,0,0,0
اشداء على الكفار رحماء بينهم,1,0,0,0
اشرب من كاس المر,1,0,0,0
اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,1,0,0,0
اشي بقهر مش لا هل درجه,1,0,0,0
اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,1,0,0,0
اصدقاء اوفياء ونتعلم منهم,1,0,0,0
اصلا ابو وديع لو كان اجا كان خسر,0,0,1,0
"اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات",0,0.5,0,0.5
اصلا سوبر ستار للعاهات,0,0,0.5,0.5
اصلا كتير من البنات بدهن يحكن مع الشباب,0,0,0.6,0.4
اصلا هدا يمسى مرض الرهاب الاجتماعي,0,0,1,0
اصلن صاحب البرنامج ماخذ شباب الامه مصخره,0,0,1,0
اصواتهم مع التوتر خربت,0,0,1,0
اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه,1,0,0,0
اضحك تضحكلك الدني,1,0,0,0
اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله,1,0,0,0
اطالب برحيل هذه الحكومه,0,1,0,0
اطفال اليوم رجال الغد ومستقبل الامه,1,0,0,0
اطمئن يا قلبى فرزقى لا ياخذه غيرى,1,0,0,0
اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته,0,0,1,0
اعطيه علي راسي هدا الصح ياحاجه الله اكبر,0,0,1,0
اعلن الانسحاب يا حمار,0,0,1,0
اعمل ليومك غدك كن متفائلا دائما يا صاحبي,1,0,0,0
اعنكم الله تقبل منكم يسر طريقكم,1,0,0,0
اغرورقت عيناي بالدموع,0,0,1,0
افتخر اني مسلم نعمه من نعم ربي,1,0,0,0
افشو السلام بينكم,1,0,0,0
افعال لا تضاهيها اقوال,1,0,0,0
افلام الرعب تاثر على اطفالنا,1,0,0,0
اقترح تحويلهم الى طبيب نفسي ليس الى القضاء,0,0,0.5,0.5
اقرفني شعر تقول حاط دبر امل وجاي,0,0,1,0
اقرفني والله,0,0,1,0
اقسم بالله ان العرب اكثر الشعوب تخلفا,0,0,0.5,0.5
اقسم بالله انه منتهيي,0,0,1,0
اقسم بالله قرف المريض نفسيا للابد يبقى مريض نفسيا,0,0,0.8,0.2
اقطع راسها وخلص,0,1,0,0
اقل من عادي هذا مستواك اقلب وجهك,0,0,1,0
اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله,0,0,1,0
اكبر مشروع طاقه شمسيه بالعالم...في الاردن اسمه شمس معان..حفظ الله الاردن,1,0,0,0
"اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح",0,0,0,1
اكثر بني ادم يعاني في الحياه هو المغترب بين الاردن والسعوديه لا اللي هنا فاهين عليه ولا اللي هناك والكل ما بحبو,0,1,0,0
اكرمك الله يا استاذي الفاضل,1,0,0,0
اكيد الله لا يحرمنا من هالنعمه العظيمه,1,0,0,0
اكيد بقرف,0,0,1,0
اكيد جزاك الله خيرا,1,0,0,0
اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان,0,0,1,0
اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,1,0,0,0
اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم,0,0,0,1
اكيد ماحدا بيقدر يارب اعن الفقراء واعنا مساعدتهم,1,0,0,0
"الاْردن تعدّل المناهج: تقليصا في الاستشهاد بايات قرانيه واحاديث نبويه، وبدلا من ذلك تمّ اعتماد دروس اقرب الى اخلاق الحياه اليوميه للطالب",1,0,0,0
الا لعنه الله على الشيعه الى يوم الدين,0,1,0,0
الا يكفي ان نسبه مرضى السرطان في الاردن اعلى نسبه عالميه بسبب مفاعل دايمونه الاسرائيلي بكل جهل نضعهه في بلدنا,0,1,0,0
الابتسامه كلمه طيبه بدون حروف,1,0,0,0
الاخلاص اللهم انا نسالك الاخلاص فى القول العمل السر العلن,1,0,0,0
الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار ... التردي ليس مرتبط بالربيع العربي بل قبله بمده عام,1,0,0,0
الاردن كثير حلوه من كل النواحي.. طبيعه و معالم و اثار,1,0,0,0
الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نووي يعنى مقامره كامله بمئات الملاييين المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات علاوه على ان كل هيئه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه للتنقيب عن اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول بكميات على الاقل تكفي استهلكنا المحلي,0,1,0,0
الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله,1,0,0,0
الاردن هذا الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه في الديوان الملكي كيف شعوره لو المشروع طاقه نوويه ؟! شو علاقه الفخر والاعتزاز ؟!,0,1,0,0
الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف,1,0,0,0
الاسف  مافي اي حدا بتحمل الانتقاد ,0,0,1,0
الاسلام نعمه كبيره من عند ربنا لا تقدر بكنوز الدنيا كلها,1,0,0,0
الاسلام هو حسن الخلق الا تعرف بان الحبيب صلى الله عليه سلم لقب امينا قبل نزول الوحي,1,0,0,0
الاعتداءات على المعلمين والاطباء ... جرائم لا تقبل اي تبرير,1,0,0,0
الاكل زاكي كثير كثير,1,0,0,0
الانكسار من اسوء الاشياء,1,0,0,0
الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,1,0,0,0
الباقيين سخافه سماجه,0,0,0.5,0.5
البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل,0,0,1,0
البرنامج فاشل جدا,0,0,1,0
البسمه سر من اسرار الحياه,1,0,0,0
البقاء في الخيال دمار,1,0,0,0
البنزين يجي من السعوديه باقل الاسعار الحكومه عندنا تدبل سعره,0,0,0,1
البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله,1,0,0,0
التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع,0,0,0.4,0.6
التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله,1,0,0,0
التفائل حلو في الحياه بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,1,0,0,0
التنفس العميق يوفر علاج طبيعي للصداع ,1,0,0,0
الثقه بالله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه,1,0,0,0
"الجمال : ليس فقط شيئا نراه بل هو شيء نكتشفه ، روح جميله ، وفكر جميل ، اخلاق جميله ، وادب جميل",1,0,0,0
"الجنه تحت اقدام الامهات , اللهم اجعل امهاتنا من نساء الجنه",1,0,0,0
الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم,0,1,0,0
الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود,1,0,0,0
الحب الحقيقي عمله نادره فعلا وهو نعمه كبيره من الله عزوجل,1,0,0,0
الحب بين الزوجين اوسع ابواب السعاده,1,0,0,0
الحب في الله شيء جميل جدا,1,0,0,0
الحريه غاليه لن تجدها عند متسول اخواني ساذج لايملك منطق ولافكر,0,1,0,0
الحق عالحقير اللي نزل المنشور بجوز اهله لابسين منهم ولك لاتنزل اشي زي هيك يا ,0,0,1,0
الحق مش على لجنه التحكيم الحق على الاغبيه المشتركين,0,0,0.5,0.5
الحكم سيئ  ,0,0,1,0
الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم,0,1,0,0
الحل الوحيد حب الله ورسوله وطاعتهم,1,0,0,0
الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى,1,0,0,0
الحلال بين و الحرام بين واتقوا الله,1,0,0,0
الحمد الله على الاسلام يا رب اهدي كل من احب هذا الدين وكل من تردد في دخوله وارحمنا جميعا,1,0,0,0
الحمد انا متفائله جدا في كا امور حياتي ورح اضل هيك دائما,1,0,0,0
الحمد لله اصبح على وجهك المشرق كل يوم,1,0,0,0
الحمد لله اكسجين يعيد للصدر انفاسه ف تجدها الصوت السعيد الصوت المتئاكل من البكاء,1,0,0,0
الحمد لله الحمد لله الحمد لله حمدا شاكرا ففضلك ربي,1,0,0,0
الحمد لله الذى لا يُحمد على مكره سواه,1,0,0,0
الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع,1,0,0,0
الحمد لله الذي رزقني بالاسلام,1,0,0,0
الحمد لله الذي نصرنا نصرا مبين,1,0,0,0
الحمد لله رب العالمين على عطاه رضا,1,0,0,0
الحمد لله على نعمه الاسلام وكفى يها نعمه,1,0,0,0
الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء,1,0,0,0
الحمد لله على نعمه العقل و سعه الفهم و نضوج الفكر,1,0,0,0
الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي,1,0,0,0
الحمد لله ما اكرمك يا الله,1,0,0,0
الحمد لله نامل من الله ان يمن علينا بالهدايه,1,0,0,0
الحمدلله الذي هدانا لهذا وما كنا لنهتدي لوﻻ ان هدانا الله . ﻻ اله اﻻ الله محمد رسول الله,1,0,0,0
الحمدلله زادت ثقافتي لكثير من الاشياء وتنوعت المفاهيم لدي,1,0,0,0
الحمدلله على السلامه وماتشوف شر .. طهور وقدامك العافيه ان شاء الله,1,0,0,0
"الحمدلله على كل حال، الفرصه قائمه، والقادم اجمل",1,0,0,0
الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,1,0,0,0
الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين,1,0,0,0
الحياه مستمره سواء ضحكت ام بكيت,1,0,0,0
الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه بعد الصلاه راحه فائقه اتمنى لكل المسلمين هذا الخشوع,1,0,0,0
الخشوع امر مهم جــدا في الصلاه,1,0,0,0
الخشوع هو المرحله التاليه للتركيز والتركيز ياتى باطاله القراءه والتدبر واطاله الركوع والسجود,1,0,0,0
الدال على الخير كفاعله,1,0,0,0
الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا,1,0,0,0
الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس لها مخاطر على البيئه والانسان ونحن الان نعاني من ضائقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدى حاجه المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد,0,0,0,1
الدين عباره عن اخلاق وحسن التعامل مع الناس وتهذيب النفس قبل ما يكون مجموعه من العبادات !,1,0,0,0
الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه,1,0,0,0
الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,1,0,0,0
الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان,0,1,0,0
الرائع سيظل رائعا حتى نهايه العمر,1,0,0,0
الروح و المال تفداك يا قلبي,1,0,0,0
الزعل بدايه الطريق للامراض,1,0,0,0
السعي وراء الرزق عباده و جهاد,1,0,0,0
السلام عليكم الحقيقه انا لا اعرف شو وقاحه هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما,0,0,1,0
السهر احد مسببات مرض السكر,1,0,0,0
الشعب الذي اختار نواب خرجين سجون سوابق بستاهل اكثر من هيك مشان 50 دينار الله لا يرد هيك شعب,0,1,0,0
الشو اسمو ستار اكاديمي ولا المسخره عل العالم اكاديمي,0,0,1,0
الصادق ينتظر الفرج ولا يياس من روح الله,1,0,0,0
"الضغوط النفسيه لها تاثير في النهايه ، سمعت قصه عن اشخاص انتحروا بسبب تعليقات ساخره ضدهم.",1,0,0,0
الطاقه الشمسيه هي البديل وليست الطاقه النوويه,1,0,0,0
الظاهر انه جايين يستهبلون عالحكام بس,0,0,1,0
الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات,0,0,1,0
الظاهر عقلك تافه من اصحاب العقول المقفله,0,0,1,0
العالم العربي مليان عاهات,0,0,1,0
العاهات اللي عندهم ياناس روحو موتو اشرف,0,0,1,0
العجوز هذا والرجال الي بجنبه بله واغبياء وانهم يثبطون الواحد,0,0,1,0
العرب مو بتاع هي الشغلات لاكن نحن فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن نحن لازقين بهلتفاهات ونضن انو هي التحظر,0,0,0.5,0.5
العرق كل شوي يزيد,0,0,1,0
العنصريه في الاردن لا تتوقف على كلمه اردني وفلسطيني وانما تتجاوزت ذلك الى تصنيف ابناء الوطن الواحد وفقا للعشيره وهذا اسوء حال وصلنا له,1,0,0,0
الغباء واضح,0,0,1,0
"الغرب فسق وعائلات مفككه والنساء عاهرات،المدارس تعلم الجنس للاطفال يشربون الكحول وياكلون لحم الخنزير ثم يقول: وجدت في الغرب اسلام بلا مسلمين",0,1,0,0
الغلط مو من المشاركين الغلط من نفس البرنامج المفروض تكون فى مرحله فرز فى البدايه قبل لا يطلعو الهواء,1,0,0,0
الغموض لغه لا يتكلم بها الا من ذاق متاعب الدنيا,1,0,0,0
الف الف مبروك يستاهل والله يوفقكم,1,0,0,0
الف مبروك تخرج ابناء الظفير من الكليه العسكريه الملكيه من الاردن,1,0,0,0
الفاتحه علي ارواح الغلابه,1,0,0,0
الفاشل من يياس ويقف عند اول حاله رسوب,1,0,0,0
الفلاكا تجعل من يتناولها يعتقد انه زومبي واكل لحوم البشر ويبدا بالبحث عن دم ليشربه وظهرت في التسعينات في امريكيا ثم اختفت,1,0,0,0
الفن اصبح هابط هذه الايام,0,0,1,0
القتل نهايه الزوجه اللعوب,0,1,0,0
القدوه الحسنه خير من النصيحه,1,0,0,0
القلب الذي يؤمن بالله  لا يياس ابدا  لانه يسير نحو النور واﻷمل .. والحياه ..,1,0,0,0
الك يوم يا ظالم,0,1,0,0
الكرامه فوق كل شيء,1,0,0,0
الللجنه ما تنطاق,0,0,1,0
اللمه هي احلى اشي بالافراح,1,0,0,0
الله احفظ احبابي اصدقائي من الحسد الكيد الفتنه العين,1,0,0,0
الله اخترت اسم غالى على قلبى قوى ربنا يثبتك على دين الاسلام اخترت صح بجد,1,0,0,0
الله اكبر شو هيدا اكل الرجال,0,0,0.5,0.5
الله اكبر ما احلاكم وما اشجعكم,1,0,0,0
الله اكبر ما من دابتن الا على الله رزقه,1,0,0,0
الله اكبر والعزه للسلام,1,0,0,0
الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين,1,0,0,0
الله اكرم الاكرمين اللهم اعنا على انفسنا واللهم ارضى عنك يارب العالمين,1,0,0,0
الله الكلام الجميل,1,0,0,0
الله الله الله يحفظك يا مملكه الانسانيه لم تقتصر مساعده السوريين في الاردن علي المعونات الغذاييه او الطبيه بل حتي شنط مدارس الاطفال بكل شي,1,0,0,0
الله الله على اخلاق الصحابه اصحاب رسول الله,1,0,0,0
الله الله عليك يا استاذ عمر بارك الله لك بارك عليك جزاك الله عنا خيرا كثير,1,0,0,0
الله المستعان على كل ظالم فليس باليد حيله غير ان نقول لا حول ولا قوه الا بالله,1,0,0,0
الله ايه الجمال ده سبحانك ربي,1,0,0,0
الله حيك شيخ ابراهيم بالفعل حكم يا نشمي,1,0,0,0
الله حيهم هالشباب انتوا القدوه,1,0,0,0
الله خيرا من الدنيا وماء فيها و ما عليها السلام عليكم ورحمه الله تعالى وبركاته اخواني واخواتي,1,0,0,0
الله على الظالمين,1,0,0,0
الله على الكلام يا رب اعينا,1,0,0,0
الله على دينا العظيم,1,0,0,0
الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين,1,0,0,0
الله عليك يا شيخ تحفه,1,0,0,0
الله غلى المسلمين فى توادهم وتراحمهم,1,0,0,0
الله لا يحرم حدا من العائله الدافيه والذريه الصالحه,1,0,0,0
الله لا يخلف عليهم لا يكثر خيرهم فعلن شعب مسكين عبد الله النسور بطل رفع الاسعار,0,1,0,0
الله لا يرفعه من مكانه اللي برفع الاسعار,0,1,0,0
الله لا يشبعكو يا حراميه,0,1,0,0
الله لا يشبعكو يا ظلمه انشاء الله كلو بتلقو بالاخره يا ظلمه خافوالله طبعا اذا بتعرفوالله,0,1,0,0
الله لا يعطي العافيه ولا الصحه للاخوان المفلسين,0,1,0,0
الله لا يوفقكم محد يخاف علي من البرد,1,0,0,0
الله ما يحرمنا من كلماتك الحلوه يا شيخنا,1,0,0,0
الله وكيلك مشحطط اهل دابوق دير غبار عبدون منعم على الفقراء,0,1,0,0
الله يا ريت كنا في ذاك الزمن,1,0,0,0
الله ياريت يبقى فى اخلاق كده فى الوقت ده,1,0,0,0
الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك,1,0,0,0
الله يبارك لنا فى ايامنا,1,0,0,0
الله يتقبل صلاتنا,1,0,0,0
الله يتمم افراح الجميع يا رب,1,0,0,0
الله يثبت قلبك على ديننا الاسلام,1,0,0,0
الله يثبتك ينور طريقنا,1,0,0,0
الله يثبته يا رب ويثبتنا نحن كمان,1,0,0,0
الله يجعل ابوك وامك من اهل النار اذا بتعيد هالحركه مره ثانيه,0,0.5,0,0.5
الله يحمي البلد من كل مخرب والله يعطيكي العافيه رجال الامن العين السهره على حمايه البلد من اصحاب النفس المريضه انتم النشامى,1,0,0,0
الله يخزيك,0,0,1,0
الله يخزيكم عند امن الوطن مافي سلطي ولا كركي ولا طفيلي الاردن فوق الجميع قالوا بنحبك يا وطن رد عليهم الوطن بغصه حبوا بعضكم اول,0,0,0,1
"الله يخلف علينا بس ، يقال لا فقر اكثر من الجهل ولا غنى افضل من العقل !!",1,0,0,0
الله يرحم هلبلاد من الحراميه والمتسلقين على قوت الشعب لك الله ياشعبنا,1,0,0,0
الله يرحمنا برحمته,1,0,0,0
الله يرزقها كل مشتهي يا رب,1,0,0,0
الله يرفعهم الى جهنم جنب القذافي باسرع وقت لان الظلم زاد عن حده,0,1,0,0
الله يزيدك من العلم ما تنتفع به الامه,1,0,0,0
الله يسامحك حبيبتي افهمتيني غلط,1,0,0,0
الله يستر على بنات المسلمين جميعا,1,0,0,0
الله يسعد كل البشر امين يا رب,1,0,0,0
الله يسعدك يبعد عنك كل شر,1,0,0,0
الله يشافيك يعافيك من كل داء وهامه اخي سيد الوكيل,1,0,0,0
الله يصبحك برضاه,1,0,0,0
الله يعطيك الصحه العافيه,1,0,0,0
الله يفرح الكل ويجمع بين المتحابين على خير,1,0,0,0
الله يفضح امكم فضحتونا شو هالسخافه,0,0,1,0
الله يكتر من امثالك يارب,1,0,0,0
الله يكثر الافراح,1,0,0,0
الله يكون في عون الفقير الطبقه المتوسط سوف تنحدر اكثر اكثر,0,0,0,1
الله يلعن الي علمكم التطور يا متخلفين يا رجعيين,0,0,0.5,0.5
الله يلعن ام هيك نمر,0,0,1,0
الله يلعن امك وش ها القرف,0,0,0,1
الله يلعنك,0,0,0,1
الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقه ولا زبي تفو,0,0,0,1
الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم,0,1,0,0
الله ينتقم منهم اجمعين اللي في بالي,0,0,0,1
الله يهدي التائهين والضالين الى طريقه,1,0,0,0
الله يهدي الجميع للاسلام,1,0,0,0
الله يهدي النفوس ربي ابعث لنا في هذا اليوم فرح يغير ايامنا وينعش قلوبنا من جديد,1,0,0,0
الله يوخذكم,0,0,0,1
الله يوفقكم والله يجعلكم تفوزون كلكم معنا قولوا  امين ,1,0,0,0
اللهم ابعد عنى شهوات الدنيا وقربنى منك واغفر لى ولكل المومنين,1,0,0,0
اللهم اتم علينا مكارم الاخلاق,1,0,0,0
اللهم اجعل سريرتي خير من على نيتي اجعل على نيتي صالحه,1,0,0,0
اللهم اجعل لنا ايمانا صادقا قلبا خاشعا علما نافعا,1,0,0,0
اللهم اجعلنا دائما مسلمين صادقين في افكارنا في اعمالنا,1,0,0,0
